place_id,population
"44001","73"
"40001","848"
"10001","331"
"27001","2367"
"48001","7599"
"31001","83"
"9001","31"
"26001","257"
"20001","333"
"19001","48"
"30001","6127"
"50001","100"
"48002","9444"
"30002","12964"
"34001","44"
"31002","538"
"31003","126"
"31004","32"
"15001","5406"
"42001","297"
"44002","48"
"25001","179"
"2001","790"
"13001","1375"
"31005","359"
"10002","407"
"49002","61"
"16001","65"
"34003","165"
"22001","248"
"22002","150"
"4001","1249"
"19002","59"
"31006","2481"
"8001","12489"
"4002","1202"
"37001","183"
"28001","84"
"24001","187"
"10003","579"
"16002","234"
"6001","807"
"10004","801"
"10005","607"
"50002","166"
"6002","5449"
"22003","177"
"47001","53"
"14001","4192"
"5001","196"
"38001","47869"
"46001","1042"
"31007","155"
"19003","29"
"46002","1508"
"4003","25148"
"9003","203"
"40002","39"
"5002","2480"
"42003","69"
"40003","126"
"3001","632"
"20002","469"
"35001","5586"
"37002","136"
"25002","588"
"36020","2344"
"50003","137"
"26002","1102"
"3002","4758"
"25003","5371"
"42004","3001"
"3003","565"
"18001","274"
"41001","2020"
"50004","636"
"9006","56"
"47002","19"
"44003","18"
"44004","514"
"13002","1659"
"22004","129"
"40004","573"
"9007","58"
"34004","6744"
"47003","243"
"31008","67"
"14002","13328"
"8002","288"
"44005","63"
"26003","460"
"30003","35301"
"50005","251"
"35002","31619"
"17001","831"
"46004","2410"
"38002","1096"
"10006","1372"
"37003","114"
"37004","31"
"6003","871"
"20016","2054"
"31009","805"
"46042","4618"
"46043","155"
"8014","2504"
"43001","901"
"17002","756"
"3004","963"
"12002","127"
"22907","2201"
"50006","1077"
"22006","320"
"25038","2591"
"20003","772"
"28002","4712"
"26004","66"
"48911","477"
"45001","2264"
"44006","252"
"50007","52"
"47004","1369"
"50008","7163"
"10903","932"
"7002","9065"
"21001","756"
"38003","2017"
"29001","5372"
"37005","70"
"45002","3623"
"28003","200"
"18002","574"
"37006","126"
"13003","486"
"19004","60"
"28004","9470"
"25004","819"
"6004","1848"
"41002","1723"
"46005","29561"
"34005","934"
"37007","439"
"50009","124"
"16003","148"
"19005","163"
"7001","5572"
"25005","329"
"2002","519"
"44007","170"
"34006","87"
"37008","5186"
"37009","207"
"2003","173329"
"25006","369"
"46006","5900"
"41003","3197"
"46007","16399"
"10007","689"
"13004","1158"
"16004","245"
"46008","3360"
"46009","3977"
"46010","1232"
"22007","1103"
"16005","253"
"19006","943"
"44008","1980"
"22008","176"
"4004","741"
"23001","1024"
"17003","157"
"19007","513"
"44009","1025"
"45003","683"
"2004","692"
"25007","2221"
"3005","12279"
"22009","698"
"26005","3446"
"16006","121"
"19008","49"
"44010","276"
"16007","1590"
"37010","1081"
"37011","112"
"46011","10526"
"26006","2422"
"50010","69"
"22011","117"
"22012","135"
"22013","301"
"25008","1556"
"50011","133"
"25009","764"
"9009","209"
"43002","2438"
"43003","485"
"20004","304"
"12003","1241"
"4005","616"
"18003","18808"
"18004","728"
"17004","776"
"46012","1160"
"46013","24454"
"2005","658"
"50012","107"
"5005","183"
"4006","11805"
"30004","1373"
"6005","2028"
"46014","4017"
"18005","406"
"18006","7233"
"18007","821"
"6006","5343"
"45004","686"
"2006","654"
"44011","59"
"50013","246"
"41004","75279"
"22014","248"
"28005","195649"
"44012","343"
"16008","93"
"11001","5219"
"50014","143"
"12004","6680"
"2007","1170"
"22015","318"
"41005","12029"
"11002","5046"
"23002","21605"
"3006","1278"
"22016","631"
"26007","643"
"43004","9418"
"49003","1076"
"44013","15947"
"45005","274"
"25010","235"
"10008","1468"
"30005","42048"
"46016","1291"
"16009","51"
"14003","1486"
"2008","1351"
"25011","9514"
"46015","10039"
"29002","2230"
"23003","10498"
"45006","1648"
"13005","30576"
"16010","152"
"47005","635"
"30902","16138"
"13006","583"
"28006","117040"
"19009","313"
"3007","230"
"9010","32"
"16011","28"
"4007","825"
"13007","1409"
"22017","1155"
"19010","13"
"45007","810"
"19011","320"
"41006","3373"
"3008","173"
"25012","3420"
"10009","289"
"42006","176"
"37012","149"
